bowler,matches,total_runs_conceded,total_balls_bowled,total_illegal_deliveries,total_wides,total_no_balls,total_legal_deliveries,avg_runs_conceded,total_wickets,bowled,lbw,caught,stumped,others,total_overs,economy,motm_count,purple_caps
Akash Singh,1,39,24,0,0,0,24,39.0,0,,,,,,4,9.75,0,0
Aman Hakim Khan,1,13,6,0,0,0,6,13.0,0,,,,,,1,13.0,0,0
Anand Rajan,8,206,162,13,12,1,149,25.75,8,1.0,1.0,6.0,0.0,0.0,25,8.24,0,0
Ankit Sharma,21,453,375,8,8,0,367,21.571428571428573,12,2.0,2.0,8.0,0.0,0.0,62,7.306451612903226,0,0
Ankit Soni,6,145,112,3,3,0,109,24.166666666666668,2,0.0,1.0,1.0,0.0,0.0,19,7.631578947368421,0,0
Anureet Singh,22,636,430,18,11,7,412,28.90909090909091,18,6.0,0.0,12.0,0.0,0.0,69,9.217391304347826,0,0
Arshdeep Singh,37,1086,803,46,41,5,757,29.35135135135135,40,8.0,0.0,28.0,0.0,4.0,127,8.551181102362206,0,0
Avesh Khan,38,1190,868,36,33,3,832,31.31578947368421,48,12.0,1.0,33.0,0.0,2.0,139,8.56115107913669,2,0
Azhar Mahmood,23,707,552,15,10,5,537,30.73913043478261,29,3.0,4.0,21.0,0.0,1.0,91,7.769230769230769,2,0
B Akhil,13,246,193,5,4,1,188,18.923076923076923,6,1.0,0.0,4.0,1.0,0.0,32,7.6875,0,0
B Chipli,1,20,6,0,0,0,6,20.0,0,,,,,,1,20.0,0,0
B Geeves,2,91,49,1,1,0,48,45.5,1,0.0,0.0,1.0,0.0,0.0,8,11.375,0,0
B Kumar,146,4064,3384,122,111,11,3262,27.835616438356166,154,36.0,9.0,103.0,1.0,5.0,549,7.402550091074681,5,2
B Laughlin,9,284,179,11,10,1,168,31.555555555555557,10,1.0,0.0,9.0,0.0,0.0,28,10.142857142857142,0,0
B Lee,38,1126,916,41,28,13,875,29.63157894736842,25,6.0,0.0,17.0,0.0,2.0,147,7.659863945578231,2,0
B Stanlake,6,200,150,6,6,0,144,33.333333333333336,7,1.0,0.0,6.0,0.0,0.0,24,8.333333333333334,1,0
BA Bhatt,15,408,303,7,6,1,296,27.2,12,1.0,2.0,8.0,0.0,1.0,50,8.16,1,0
BA Stokes,37,1005,717,34,30,4,683,27.16216216216216,28,7.0,0.0,21.0,0.0,0.0,114,8.81578947368421,5,0
BAW Mendis,10,306,248,4,3,1,244,30.6,8,0.0,1.0,6.0,0.0,1.0,41,7.463414634146342,0,0
BB Sran,24,767,516,33,30,3,483,31.958333333333332,19,2.0,0.0,16.0,0.0,1.0,81,9.469135802469136,0,0
BCJ Cutting,17,430,288,7,7,0,281,25.294117647058822,10,3.0,0.0,7.0,0.0,0.0,48,8.958333333333334,1,0
BE Hendricks,7,239,157,7,6,1,150,34.142857142857146,9,1.0,0.0,8.0,0.0,0.0,25,9.56,0,0
BJ Hodge,20,310,238,4,4,0,234,15.5,17,4.0,0.0,13.0,0.0,0.0,39,7.948717948717949,6,0
BJ Rohrer,1,12,7,1,1,0,6,12.0,0,,,,,,1,12.0,0,0
BMAJ Mendis,2,36,30,0,0,0,30,18.0,1,0.0,0.0,0.0,1.0,0.0,5,7.2,0,0
BW Hilfenhaus,17,497,390,18,15,3,372,29.235294117647058,22,5.0,1.0,16.0,0.0,0.0,62,8.016129032258064,2,0
Basil Thampi,25,862,539,18,17,1,521,34.48,22,4.0,4.0,13.0,0.0,1.0,88,9.795454545454545,0,0
Bipul Sharma,28,581,436,10,10,0,426,20.75,17,2.0,1.0,13.0,1.0,0.0,72,8.069444444444445,0,0
C Ganapathy,1,13,6,0,0,0,6,13.0,0,,,,,,1,13.0,0,0
C Munro,2,15,12,0,0,0,12,7.5,0,,,,,,2,7.5,0,0
C Nanda,3,58,50,2,2,0,48,19.333333333333332,2,0.0,0.0,2.0,0.0,0.0,8,7.25,0,0
C Sakariya,17,521,405,27,23,4,378,30.647058823529413,17,2.0,0.0,15.0,0.0,0.0,63,8.26984126984127,0,0
C de Grandhomme,19,323,230,14,12,2,216,17.0,6,0.0,1.0,5.0,0.0,0.0,37,8.72972972972973,0,0
CH Gayle,38,755,584,30,27,3,554,19.86842105263158,18,5.0,2.0,8.0,3.0,0.0,93,8.118279569892474,22,0
CH Morris,81,2377,1801,75,70,5,1726,29.34567901234568,96,22.0,6.0,66.0,0.0,2.0,287,8.282229965156795,3,0
CJ Anderson,22,525,315,18,18,0,297,23.863636363636363,11,0.0,1.0,10.0,0.0,0.0,50,10.5,3,0
CJ Dala,1,34,19,1,1,0,18,34.0,0,,,,,,3,11.333333333333334,0,0
CJ Green,1,24,17,0,0,0,17,24.0,0,,,,,,3,8.0,0,0
CJ Jordan,28,870,577,35,30,5,542,31.071428571428573,27,6.0,0.0,20.0,0.0,1.0,91,9.56043956043956,1,0
CJ McKay,2,60,42,0,0,0,42,30.0,1,0.0,0.0,1.0,0.0,0.0,7,8.571428571428571,0,0
CK Kapugedera,3,49,17,0,0,0,17,16.333333333333332,0,,,,,,3,16.333333333333332,0,0
