bowler,total_runs_conceded,total_balls_bowled,total_wickets,total_overs,economy_rate,average,extras_conceded,bowled,lbw,caught,stumped,run_out,other
Y Gnaneswara Rao,7,6,0,1,7.0,7.0,0,0,0,0,0,0,0
Y Nagar,125,72,4,6,10.416666666666666,31.25,6,0,0,4,0,0,0
Y Prithvi Raj,57,33,1,5,10.363636363636363,57.0,3,1,0,0,0,0,0
Y Venugopal Rao,338,222,7,16,9.135135135135135,48.285714285714285,7,1,1,4,0,1,0
YA Abdulla,311,222,15,17,8.405405405405405,20.733333333333334,17,4,1,10,0,0,0
YBK Jaiswal,6,1,0,1,36.0,6.0,0,0,0,0,0,0,0
YK Pathan,1443,1184,46,19,7.3125,31.369565217391305,63,10,5,23,4,4,0
YS Chahal,3699,2940,172,20,7.548979591836734,21.50581395348837,132,33,13,104,16,6,0
Yash Dayal,296,205,13,15,8.663414634146342,22.76923076923077,13,0,0,11,0,2,0
Yuvraj Singh,1091,882,39,13,7.421768707482993,27.974358974358974,24,9,2,21,4,3,0
Z Khan,2860,2276,119,20,7.539543057996485,24.03361344537815,132,22,9,71,0,16,1
