batter,innings,total_runs,total_balls,outs,total_50s,total_100s,avg_strike_rate,motm_count,orange_caps,average,fours,sixes
TG Southee,19,120,108,11,0,0,89.25339366515837,1,0,6.315789473684211,8,4
TH David,9,187,94,7,0,0,167.00176366843033,1,0,20.77777777777778,12,16
TK Curran,10,127,108,5,1,0,112.64787581699348,0,0,12.7,10,3
TL Seifert,3,26,26,3,0,0,77.08333333333333,0,0,8.666666666666666,4,0
TL Suman,39,676,587,30,2,0,99.77750886428859,1,0,17.333333333333332,55,26
TM Dilshan,50,1153,1047,41,9,0,92.72040816489206,1,0,23.06,140,24
TM Head,10,205,151,6,1,0,105.2280303030303,0,0,20.5,12,8
TM Srivastava,3,8,11,1,0,0,59.25925925925926,0,0,2.6666666666666665,0,0
TR Birt,5,75,59,5,0,0,119.2944832944833,0,0,15.0,9,2
TS Mills,5,8,14,4,0,0,48.0,0,0,1.6,0,1
TU Deshpande,2,21,12,1,0,0,127.77777777777777,0,0,10.5,2,1
Tilak Varma,14,397,313,10,2,0,117.75043847776973,0,0,28.357142857142858,29,16
U Kaul,1,0,1,0,0,0,0.0,0,0,0.0,0,0
UA Birla,1,7,15,1,0,0,46.666666666666664,0,0,7.0,1,0
UBT Chand,20,300,314,20,1,0,74.97096743126154,0,0,15.0,32,9
UT Khawaja,6,127,105,5,0,0,142.38856384847847,0,0,21.166666666666668,14,3
UT Yadav,41,177,176,18,0,0,84.4757139879091,10,0,4.317073170731708,15,8
Umar Gul,4,39,19,3,0,0,198.29545454545453,1,0,9.75,1,5
Umran Malik,4,4,8,1,0,0,40.0,2,0,1.0,0,0
V Kohli,215,6634,5266,193,45,5,112.29826404056232,14,1,30.855813953488372,580,218
V Pratap Singh,1,0,1,1,0,0,0.0,0,0,0.0,0,0
V Sehwag,104,2728,1833,98,16,2,128.68409683097113,11,0,26.23076923076923,334,106
V Shankar,41,731,616,30,3,0,112.22966908052393,0,0,17.829268292682926,46,28
VG Arora,4,5,14,2,0,0,32.14285714285714,0,0,1.25,0,0
VH Zol,2,29,26,2,0,0,111.3095238095238,0,0,14.5,3,1
VR Aaron,12,50,73,4,0,0,64.57521645021644,2,0,4.166666666666667,2,2
VR Iyer,22,552,474,20,5,0,103.11283908660353,1,0,25.09090909090909,54,21
VRV Singh,2,4,3,1,0,0,100.0,0,0,2.0,1,0
VS Malik,2,7,7,1,0,0,85.0,0,0,3.5,1,0
VS Yeligati,1,2,2,1,0,0,100.0,0,0,2.0,0,0
VVS Laxman,20,282,271,16,1,0,78.19727654210412,0,0,14.1,33,5
VY Mahesh,5,15,28,2,0,0,50.57142857142857,0,0,3.0,0,0
Virat Singh,2,15,26,3,0,0,60.11904761904761,0,0,7.5,1,0
Vishnu Vinod,3,19,26,3,0,0,90.55555555555556,0,0,6.333333333333333,1,1
W Jaffer,8,130,129,7,1,0,82.64264264264264,0,0,16.25,14,3
WA Mota,8,56,76,5,0,0,71.40333472570315,0,0,7.0,2,0
WD Parnell,12,63,80,9,0,0,76.50385154061625,0,0,5.25,4,1
WP Saha,117,2427,1951,96,11,1,114.67831088599925,5,0,20.743589743589745,231,76
WPUJC Vaas,11,81,73,7,0,0,92.86713286713287,1,0,7.363636363636363,2,3
Washington Sundar,32,318,278,23,0,0,103.93790326138429,1,0,9.9375,26,9
X Thalaivan Sargunam,1,10,17,1,0,0,58.82352941176471,0,0,10.0,0,0
Y Gnaneswara Rao,1,19,18,1,0,0,105.55555555555556,0,0,19.0,3,0
Y Nagar,20,285,271,15,0,0,97.4119107511713,0,0,14.25,20,9
Y Prithvi Raj,1,0,1,0,0,0,0.0,0,0,0.0,0,0
Y Venugopal Rao,52,985,865,42,3,0,105.24639426582985,0,0,18.942307692307693,77,37
YA Abdulla,1,0,1,0,0,0,0.0,0,0,0.0,0,0
YBK Jaiswal,23,547,410,23,3,0,113.41441490785616,1,0,23.782608695652176,62,22
YK Pathan,153,3222,2334,111,14,1,120.75701351969231,16,0,21.058823529411764,263,160
YS Chahal,17,37,89,6,0,0,44.876283846872084,6,0,2.176470588235294,0,0
YV Takawale,10,192,183,8,0,0,100.03234459928173,0,0,19.2,26,3
Yash Dayal,1,0,1,1,0,0,0.0,0,0,0.0,0,0
Yashpal Singh,4,47,67,4,0,0,75.75396825396825,0,0,11.75,5,0
Younis Khan,1,3,7,1,0,0,42.857142857142854,0,0,3.0,0,0
Yuvraj Singh,126,2754,2207,109,13,0,110.80877823960407,5,0,21.857142857142858,218,149
Z Khan,27,117,141,15,0,0,78.47910320132542,1,0,4.333333333333333,11,2
