batter,innings,total_runs,total_balls,outs,total_50s,total_100s,avg_strike_rate,motm_count,orange_caps,average,fours,sixes
DJ Willey,2,18,32,3,0,0,30.0,0,0,9.0,3,0
DJG Sammy,20,295,251,15,1,0,114.07157097288675,1,0,14.75,15,18
DJM Short,7,115,102,7,0,0,112.30047988187523,0,0,16.428571428571427,11,5
DL Chahar,11,79,59,7,0,0,94.15584415584416,2,0,7.181818181818182,2,6
DL Vettori,16,121,118,7,0,0,90.8119882568412,1,0,7.5625,11,2
DM Bravo,1,6,5,0,0,0,120.0,0,0,6.0,1,0
DNT Zoysa,2,11,9,1,0,0,96.42857142857143,0,0,5.5,1,0
DP Conway,7,252,176,6,3,0,97.29522439606474,1,0,36.0,22,12
DP Nannes,2,4,13,1,0,0,38.63636363636363,1,0,2.0,0,0
DP Vijaykumar,1,1,1,0,0,0,100.0,0,0,1.0,0,0
DPMD Jayawardene,78,1808,1522,64,10,1,108.66872552486252,5,0,23.17948717948718,200,40
DR Martyn,1,19,26,2,0,0,73.07692307692307,0,0,19.0,1,0
DR Sams,13,44,48,10,0,0,111.67582417582418,1,0,3.3846153846153846,1,3
DR Shorey,2,13,20,2,0,0,67.17171717171718,0,0,6.5,0,1
DR Smith,88,2385,1803,81,17,0,113.58053980650088,11,0,27.102272727272727,245,117
DS Kulkarni,20,104,113,9,0,0,102.88721190230478,0,0,5.2,7,2
DS Lehmann,2,18,19,2,0,0,75.0,0,0,9.0,3,0
DT Christian,41,460,408,28,0,0,101.95351193676807,0,0,11.21951219512195,23,19
DT Patil,2,13,13,1,0,0,237.5,0,0,6.5,1,0
DW Steyn,33,167,163,22,0,0,94.4234889689435,5,0,5.0606060606060606,14,3
E Lewis,26,654,499,24,4,0,108.56361421451456,1,0,25.153846153846153,62,36
EJG Morgan,74,1406,1181,61,5,0,101.65286595173723,2,0,19.0,112,64
ER Dwivedi,2,24,15,2,0,0,147.22222222222223,0,0,12.0,2,2
F Behardien,3,14,13,2,0,0,76.19047619047619,0,0,4.666666666666667,2,0
F du Plessis,109,3403,2676,97,25,0,110.59862707322243,7,0,31.220183486238533,314,109
